Name,Team,No,Position,7mPGoals,7mPMissed,6mCGoals,6mCMissed,WingGoals,WingMissed,BTGoals,BTMissed,FBGoals,FBMissed,FTOGoals,FTOMissed,9mGoals,9mMissed,RC,2M,2+2,AS,ST,BS,TO,Time,Cluster
Klemen Ferlin,SLO,26,GK,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,356.0,8
Vladan Djurdjevic,BIH,36,RW,0,0,0,0,4,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,83.0,8
Sebastian Hein Barthold,NOR,6,LW,0,0,2,0,5,5,0,0,1,0,1,1,0,0,0,0,0,2,1,0,1,133.0,8
Khazein Rustamov,GEO,7,LW,0,0,1,0,1,2,0,0,2,1,1,1,0,0,0,0,0,0,2,0,1,147.0,8
Mikolaj Czaplinski,POL,44,RW,0,0,0,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,3,92.0,8
Bart Ravensbergen,NED,1,GK,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,0,0,0,345.0,8
Stas Jovicic Slatinsek,SLO,19,LW,0,0,1,0,6,3,0,0,2,0,0,0,0,0,0,7,0,3,1,0,2,151.0,8
Jakub Hrstka,CZE,2,LW,0,3,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,87.0,8
Hans Lindberg,DEN,18,RW,11,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,8
Gilberto Duarte,POR,5,LB,0,0,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,4,3,1,0,106.0,8
Gabriel Cristian Ilie,ROU,3,LB,0,0,1,0,3,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,51.0,8
Valentin Porte,FRA,28,RW,0,0,0,3,4,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,153.0,8
Daniel Fernandez Jimenez,ESP,70,LW,0,0,0,0,4,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,80.0,8
Dimitrios Tziras,GRE,21,RW,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,60.0,8
Kamil Syprzak,POL,21,LP,7,1,7,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,68.0,8
António Areia,POR,25,RW,8,1,1,2,1,4,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,179.0,8
Adi Mehmedcehajic,BIH,9,LW,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,132.0,8
Giorgi Arvelodi Dikhaminjia,GEO,71,RW,0,0,2,0,4,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,149.0,8
Jaroslav Trkovský,CZE,20,LB,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,88.0,8
Kevin Maagerø Gulliksen,NOR,44,RW,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,69.0,8
Luka Peric,BIH,17,RW,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,83.0,8
Evangelos Arampatzis,GRE,38,RW,0,0,1,1,1,2,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,112.0,8
Jakub Szyszko,POL,33,RW,0,0,1,0,1,3,0,0,1,0,1,2,0,0,0,1,0,1,2,0,0,131.0,8
Ionut Nistor Ionita,ROU,5,RW,3,1,3,0,2,4,0,0,1,0,0,0,0,0,0,1,0,1,1,0,2,145.0,8
Nicusor Andrei Negru,ROU,24,LW,7,0,0,0,1,3,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,70.0,8
Vukasin Vorkapic,SRB,3,RW,0,0,0,0,2,3,0,0,4,0,0,0,1,0,0,1,0,1,2,0,2,72.0,8
Przemyslaw Urbaniak,POL,34,LW,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,2,0,0,1,0,2,70.0,8
Nemanja Ilic,SRB,19,LW,4,1,2,0,5,1,0,0,1,0,0,1,0,0,0,0,0,1,3,0,0,105.0,8
Constantin Möstl,AUT,98,GK,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,289.0,8
Bogdan Radivojevic,SRB,17,RW,1,0,1,0,3,3,0,0,1,0,0,0,1,1,0,0,0,3,2,0,0,100.0,8
Nikola Portner,SUI,16,GK,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,152.0,8
Alec Smit,NED,27,RW,0,0,0,0,4,5,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,67.0,8
Andreas Wolff,GER,33,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.0,8
Samuel Zehnder,SUI,29,LW,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,96.0,8
Milos Vujovic,MNE,6,LW,5,1,3,2,3,0,0,0,2,1,0,0,0,1,0,2,0,2,1,0,3,155.0,8
Cédrie Tynowski,SUI,6,RW,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,137.0,8
Johan a Plogv Hansen,DEN,26,RW,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50.0,8
Petar Atanasijevikj,MKD,55,LW,0,0,0,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,97.0,8
Stiven Tobar Valencia,ISL,17,LW,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,93.0,8
Lovro Mihic,CRO,2,LW,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,81.0,8
Samir Bellahcene,FRA,1,GK,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,301.0,8
Dragan Pechmalbec,SRB,46,LP,0,0,7,0,0,0,0,0,2,1,0,0,0,0,0,3,0,1,2,1,2,97.0,8
Kaj Geenen,NED,17,LW,0,0,0,0,7,3,0,0,1,0,1,1,0,0,0,1,0,1,0,0,2,64.0,8
Luka Radovic,MNE,27,RW,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,2,0,2,3,0,3,109.0,8
Zsolt Krakovszki,HUN,10,RW,0,0,0,0,3,5,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,89.0,8
Benoit Kounkoud,FRA,29,RW,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,110.0,8
